Categories;Categories 1;Categories 2;Categories 3;Continents;Country;En el TOP;Rank Tops;Table Names;Username;Comments;Engagement;Likes;Nº Total Channels;Rank;Suscribers;Total Suscribers;Visits
;;;;América del Norte;México;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;luisitocomunica;1500;0,189613527;77000;1;66;41400000;41400000;2800000
Animación;Animación;Juguetes;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;shfa2;0;0,014769976;6100;1;67;41300000;41300000;733000
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;beterbocuk;251;0,099392683;40500;1;68;41000000;41000000;742700
Películas;Películas;Animación;;América del Sur;Brasil;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;luccastoon;0;0,015853659;6500;1;69;41000000;41000000;281000
Animación;Animación;Juguetes;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;LittleBabyBum;0;0,000310513;127;1;70;40900000;40900000;65099
Películas;Películas;Humor;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;CarryMinati;6600;1,184803922;476800;1;71;40800000;40800000;4200000
Música y baile;Música y baile;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;SuperSimpleSongs;0;0,003703704;1500;1;72;40500000;40500000;659800
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;SonyPAL;11;0,000690594;268;1;73;40400000;40400000;19800
Música y baile;Música y baile;Películas;;Ásia;Indonesia;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;RicisOfficial1795;344;0,033359801;13100;1;74;40300000;40300000;198300
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;GaaneSuneAnsune;9;0,00054;207;1;75;40000000;40000000;34600
;;;;Ásia;Tailandia;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;WorkpointOfficial;1;0,000547739;217;1;76;39800000;39800000;7900
;;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;TEDx;0;7,537688442e-06;3;1;77;39800000;39800000;161
